iter	Passed	Remaining
914	4935	458
915	4937	452
916	4939	447
917	4942	441
918	4945	435
919	4948	430
920	4950	424
921	4953	419
922	4956	413
923	4958	407
924	4962	402
925	4964	396
926	4967	391
927	4971	385
928	4973	380
929	4976	374
930	4979	369
931	4981	363
932	4984	357
933	4986	352
934	4989	346
935	4992	341
936	4995	335
937	4997	330
938	5000	324
939	5003	319
940	5005	313
941	5008	308
942	5011	302
943	5014	297
944	5016	291
945	5019	286
946	5021	281
947	5025	275
948	5028	270
949	5031	264
950	5033	259
951	5036	253
952	5039	248
953	5042	243
954	5045	237
955	5047	232
956	5050	226
957	5052	221
958	5055	216
959	5058	210
960	5060	205
961	5063	200
962	5066	194
963	5070	189
964	5073	184
965	5077	178
966	5080	173
967	5084	168
968	5086	162
969	5089	157
970	5092	152
971	5095	146
972	5098	141
973	5100	136
974	5103	130
975	5105	125
976	5108	120
977	5110	114
978	5113	109
979	5116	104
980	5119	99
981	5121	93
982	5124	88
983	5126	83
984	5128	78
985	5131	72
986	5134	67
987	5136	62
988	5138	57
989	5141	51
990	5143	46
991	5147	41
992	5149	36
993	5152	31
994	5155	25
995	5157	20
996	5160	15
997	5162	10
998	5165	5
999	5167	0
987	7777	94
988	7782	86
989	7790	78
990	7794	70
991	7803	62
992	7811	55
993	7816	47
994	7826	39
995	7831	31
996	7841	23
997	7848	15
998	7853	7
999	7860	0
